index	Title	Location	Company	Synopsis	Link
0	RESEARCH STUDY ASSISTANT	Seattle, WA	University of Washington	Explain the purpose of research studies and protocols to current and potential participants.	https://www.indeed.com/rc/clk?jk=56c4731dc957a83e&fccid=142783ac2edbe56b&vjs=3
1	Research Assistant 1	Portland, OR 97239 (Homestead area)	Oregon Health & Science University	Working knowledge of scientific method and human subjects research.	https://www.indeed.com/rc/clk?jk=a1c7ec8cc66220a9&fccid=85be009ba3b3a5a6&vjs=3
2	Research Assistant	Boston, MA	Harvard University	403108 Research Assistant I Lab.	https://www.indeed.com/rc/clk?jk=80b5036c2e9c4b89&fccid=5507a64404691526&vjs=3
3	Research Assistant I Lab	Boston, MA	Harvard University	403108 Research Assistant I Lab.	https://www.indeed.com/rc/clk?jk=66c59c5383cacbb1&fccid=5507a64404691526&vjs=3
4	RESEARCH FARM ASSISTANT 1	Saint Joseph, LA	LSU Agricultural Center	Performs comparable farming tasks in other agricultural research areas such as forestry, aquaculture, agricultural engineering, etc.	https://www.indeed.com/rc/clk?jk=db001d02dc47a30e&fccid=88793ab147caaf22&vjs=3
5	Research Technician Assistant	Pasadena, CA 91125 (South area)	California Institute of Technology	Collecting data from human research participants on-line and in-lab.	https://www.indeed.com/rc/clk?jk=e56983da41ba1efa&fccid=3f13ab783077a3af&vjs=3
6	POLICY & RESEARCH ASSOCIATE	Boston, MA 02201 (Central area)	BPDA (Boston Planning & Development Agency)	Tuition Free Community College Program.	https://www.indeed.com/rc/clk?jk=62734588aa236e5d&fccid=92b9ac3af10db7b3&vjs=3
7	Research Assistant	Los Angeles, CA	UCLA	Under the direct supervision of the Principal Investigator, the research assistant will be responsible for assistance with screening and recruiting of study…	https://www.indeed.com/rc/clk?jk=fd01b080c31082be&fccid=ab0ef6192557a06f&vjs=3
8	Research Assistant / Associate Scientist	San Diego, CA	Phanes Therapeutics Inc	We are looking for a full time research assistant or associate scientist.	https://www.indeed.com/rc/clk?jk=af139b789aa2b456&fccid=02d930b64cc296e6&vjs=3
9	Laboratory Assistant	Vacaville, CA 95696	California Medical Facility	Incumbents, under direct supervision, perform assigned, varied, standardized, and nontechnical laboratory procedures; collect, process or prepare laboratory…	https://www.indeed.com/rc/clk?jk=f5b9011c49a33a12&fccid=30a4c45b49a51c12&vjs=3
10	Research Study Assistant	Chicago, IL	Northwestern University	Prior experience in human subjects research.	https://www.indeed.com/rc/clk?jk=c73d1b7d7fd4ab54&fccid=bc51f56762438d6f&vjs=3
11	Research Assistant I (Home-based Florida: Tampa Bay, Orlando...	None	WestEd	Experience working in an applied research setting desired.	https://www.indeed.com/rc/clk?jk=9dd511da721c576d&fccid=66b2e7e4dce53fbe&vjs=3
12	Research Farm Assistant	Baton Rouge, LA	Louisiana State University	To provide specialized routine repetitive care and maintenance of animals, crops, equipment, and facilities in a research/experimental environment.	https://www.indeed.com/rc/clk?jk=e973d1fafc9c0a6b&fccid=1ac7fadaf71de79c&vjs=3
13	Research Assistant 1 HSS	New Haven, CT 06510 (Downtown area)	Yale University	Codes data accordingly to research specifications.	https://www.indeed.com/rc/clk?jk=c27cd3faaa0bb5c5&fccid=24aa47c814aee6e7&vjs=3
14	Research Assistant I	Houston, TX 77030 (Medical Center Area area)	MD Anderson Cancer Center	Led by our faculty team of 25 physicians and scientists, our patients benefit from a team approach that includes our colleagues in radiology, surgery, radiation…	https://www.indeed.com/rc/clk?jk=878499f6964f59db&fccid=ab68ed48b7ae3b5f&vjs=3
15	Lab Assistant Pathology Non License - Pathology	Newport Beach, CA	Hoag Memorial Hospital Presbyterian	Assists Pathologists, Histotechs and Cytotechnologists in preparing specimens for processing and testing.	https://www.indeed.com/rc/clk?jk=bfa47efba8a3acc3&fccid=8ae3775d2761f8ea&vjs=3
16	Research Assistant	Irving, TX 75063	Centre For Neuro Skills	Prefer training in elementary statistics and research design.	https://www.indeed.com/rc/clk?jk=e571ef976ede321e&fccid=1d6966024535a2d5&vjs=3
17	Research Assistant	Canton, OH 44718	Gabrail Cancer Center	Manage research projects to ensure completion of assignments within established timelines.	https://www.indeed.com/rc/clk?jk=9531cde09d8c0ca8&fccid=bcfbad34029f1fbb&vjs=3
18	Research Assistant I	Boston, MA 02115 (Mission Hill area)	Boston Children's Hospital	Attending courses, lectures and conferences to further own knowledge of research and laboratory techniques, consulting with other researchers and technicians to…	https://www.indeed.com/rc/clk?jk=509819775a1c1f7b&fccid=847fa4d5cb464f5a&vjs=3
19	Clinical Research Assistant I	Temple, TX 76502	Baylor Scott & White Health	The Clinical Research Assistant assists the research team in the implementation and conduct of clinical trails per federal, state and institutional guidelines…	https://www.indeed.com/rc/clk?jk=a94d38b2471fb9d8&fccid=9f3a9e3753ee0b45&vjs=3
20	Research Scientist Assistant I/II	San Antonio, TX 78249	University of Texas at San Antonio	6 months related research experience.	https://www.indeed.com/rc/clk?jk=2d0724f5d33141cd&fccid=bfbe64a8606c7802&vjs=3
21	Research Assistant	Washington, DC	Children's National Hospital	Responsible for appropriate use of research funds and resources.	https://www.indeed.com/rc/clk?jk=bd07c83d2b61b51f&fccid=462240b6ade3ccad&vjs=3
22	Research Assistant I (Neurology - Cerebrovascular)	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=5d38ed37856fee55&fccid=2259246cd8a35c6c&vjs=3
23	Research Assistant	Chapel Hill, NC	UNC-Chapel Hill	Required Education and Experience: Demonstrated possession of the competencies necessary to perform the work.	https://www.indeed.com/rc/clk?jk=fb45a5dbf8075f9d&fccid=9a199e21f9f95369&vjs=3
24	Research Assistant	Baltimore, MD 21218 (Johns Hopkins Homewood area)	Johns Hopkins University	Participate in weekly research group meetings.	https://www.indeed.com/rc/clk?jk=874070ccdda6a4a9&fccid=f34acbd24dd4fcb0&vjs=3
25	Entry level Research and Development Assistant	Bartlett, IL 60103	Giovanni Rana	This role is an entry level position, that is ideal for current students or recent graduates that have worked in the food industry.	https://www.indeed.com/rc/clk?jk=2eebdb6aba3d6b6e&fccid=8cc56c56dd0b28e8&vjs=3
26	Research Assistant I, Social Sciences	Norfolk, VA 23507 (Ghent area)	Eastern Virginia Medical School	Experience in clinical research preferred.	https://www.indeed.com/rc/clk?jk=257b40831bc0522f&fccid=97b7004333f6d2b6&vjs=3
27	Soc/Clin Research Assistant	Chapel Hill, NC	UNC-Chapel Hill	This position will not interact directly with research participants.	https://www.indeed.com/rc/clk?jk=79f3b5d10af016cb&fccid=9a199e21f9f95369&vjs=3
28	Research Assistant Bench -Neurosurg -Baskin	Houston, TX	Houston Methodist	Participation in research planning meetings.	https://www.indeed.com/rc/clk?jk=2d602843736d5a1f&fccid=1fc7fdf0baeeb13b&vjs=3
29	Research Associate	None	Construction Journal	Our SaaS platform provides comprehensive and time sensitive information on construction projects and service contracts.	https://www.indeed.com/rc/clk?jk=4c0ad822465d877b&fccid=dd616958bd9ddc12&vjs=3
30	Research Assistant	United States	WestCare Foundation	EDUCATION AND/OR EXPERIENCE: Minimum of a Bachelors' degree and one year equivalent experience in evaluation and/or research.	https://www.indeed.com/rc/clk?jk=fb967dd248810fcd&fccid=1f6e499441ae9495&vjs=3
31	Research Laboratory Assistant	Los Angeles, CA	USC	Analyzes and evaluates research data utilizing computers and provides interpretations requiring significant knowledge of a specialized area of research.	https://www.indeed.com/rc/clk?jk=e68050411e139687&fccid=7455773bace145da&vjs=3
32	Research Assistant	Houston, TX 77030 (Medical Center Area area)	Retina Consultants of Houston	Coordinate and schedule subject visits within study/subject specific windows per protocol guidelines.	https://www.indeed.com/rc/clk?jk=7dda05c2f62671d7&fccid=cc1b6938ec8c5f73&vjs=3
33	Research Assistant	Miami, FL	University of Miami	The incumbent in this position sets up and operates various scientific apparatus and makes minor repairs.	https://www.indeed.com/rc/clk?jk=23d95a4636757aae&fccid=ec40e650131b4ee3&vjs=3
34	Research Technician I	Richardson, TX 75080	University of Texas at Dallas	Administrative responsibilities, including IRB correspondence, training undergraduate research assistants, and assisting with lab management will also be…	https://www.indeed.com/rc/clk?jk=2d8062aeccbb48bc&fccid=e3c34fabea26c902&vjs=3
35	Research Assistant - Immunotoxicology	Madison, WI 53704	Covance	In this role, you will set up and prepare equipment for sample processing, data acquisition/analysis according to study protocol, Policies/SOPs, Methods, and…	https://www.indeed.com/rc/clk?jk=2762d89cbb5d085f&fccid=8c8fa600b6a5fdd5&vjs=3
36	Research Assistant - Qualitative and Quantitative - San Mate...	San Mateo, CA	American Institutes for Research	Assist staff in the review, identification and development of scholarly information describing research findings.	https://www.indeed.com/rc/clk?jk=712872b1970cdd57&fccid=f55f2546cfc2349e&vjs=3
37	Research Assistant	Jonesboro, AR	New York Institute of Technology	Strong work ethic and an interest in developing independent research projects.	https://www.indeed.com/rc/clk?jk=42eeccb26472d9c6&fccid=7b4271340988ba7d&vjs=3
38	Research Assistant (WPI/DR)	United States	WestCare Foundation	Collect baseline and follow-up data on program participants and stakeholders;	https://www.indeed.com/rc/clk?jk=54f50a960c5f0a91&fccid=1f6e499441ae9495&vjs=3
39	Research Assistant I - Clinical/Health Services	Boston, MA 02111 (Chinatown area)	Tufts Medical Center	0-2 years of experience in research or related activities.	https://www.indeed.com/rc/clk?jk=c8288d1d39f5b0f2&fccid=5fef92f16580d9bd&vjs=3
40	Clinical Research Assistant	Columbus, OH 43210 (The Ohio State University area)	Ohio State University Medical Center	Clinical Research Assistant (Job Opening 459894) - To provide assistance in support of clinical research studies in Sports Medicine Research Institute; assists…	https://www.indeed.com/rc/clk?jk=78b244b3d44c037f&fccid=08b5d24807a3a7fd&vjs=3
41	Research Assistant	Detroit, MI 48202 (Wayne State area)	Wayne State University	Previous research experience strongly desired.	https://www.indeed.com/rc/clk?jk=a31fa7998d74ab09&fccid=fc5796d278dc2460&vjs=3
42	Laboratory Assistant	Norco, CA 92860	California Rehabilitation Center	Incumbents, under direct supervision, perform assigned, varied, standardized, and nontechnical laboratory procedures; collect, process or prepare laboratory…	https://www.indeed.com/rc/clk?jk=45dfc068bd9b6725&fccid=b19edda7db0ab887&vjs=3
43	Clinical Research Associate	None	Parexel	Site Management or equivalent experience in clinical research, with understanding of clinical trials methodology and terminology.	https://www.indeed.com/rc/clk?jk=50648bc58545e19c&fccid=a2ce486f2a6b8708&vjs=3
44	Research Assistant / Research Associate	Woods Hole, MA 02540	Woods Hole Oceanographic Institution	High level of research/experimental project oversight.	https://www.indeed.com/rc/clk?jk=8b1341615937268b&fccid=893bf3913d101f5b&vjs=3
45	Assistant Clinical Research Coordinator	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	The Assistant CRC will be responsible for providing support to the clinical research programs in several areas, including but not limited to: rapidly…	https://www.indeed.com/rc/clk?jk=cbf79b728d74d2ae&fccid=2a341562d64c7cdb&vjs=3
46	Research Assistant	New York, NY	Columbia University	Consequence of error are usually difficult to detect and may results in different costly adjustments which may adversely affect the result of a research project…	https://www.indeed.com/rc/clk?jk=0526c93e96e428aa&fccid=bd976cc171c690e0&vjs=3
47	Research Assistant -Psychology	Houston, TX	Houston Methodist	The Research Assistant II utilizes skills to provide technical research laboratory support in performing research experiments.	https://www.indeed.com/rc/clk?jk=b41dd5d2880a485b&fccid=1fc7fdf0baeeb13b&vjs=3
48	Research Assistant - Neurology	Washington, DC	GW MFA	Provides daily research support for all assigned research projects and related activities.	https://www.indeed.com/rc/clk?jk=479e2eb05d87a9f9&fccid=715f975b8e187146&vjs=3
49	Research Assistant I - Neurosurgery	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=9c334d3b19367626&fccid=2259246cd8a35c6c&vjs=3
50	Research Assistant	Pasadena, CA 91125 (South area)	California Institute of Technology	Exempt Overtime Eligible: Overtime Eligible.	https://www.indeed.com/rc/clk?jk=4a2cdb9f6e9cf324&fccid=3f13ab783077a3af&vjs=3
51	Research Assistant (Clinical Research)	Boston, MA 02215 (Mission Hill area)	Joslin Diabetes	Report findings to clinical research team.	https://www.indeed.com/rc/clk?jk=d7a245d59f9649ae&fccid=df5ee23e8f72dc95&vjs=3
52	Research Assistant	Rockville, MD	WESTAT	Supporting public health and epidemiology research activities.	https://www.indeed.com/rc/clk?jk=2f12516f14d775c7&fccid=1e7fef0b4511d646&vjs=3
53	Literature Research Assistant	West Hills, CA 91304	Pharmavite LLC	Coordinate contract execution with legal for research projects and product donations.	https://www.indeed.com/rc/clk?jk=9c9c14aed70e0c2f&fccid=53047d896a5326d6&vjs=3
54	Research Assistant	Boston, MA 02108 (Back Bay-Beacon Hill area)	Boston Medical Center	Under the direction of the Principal Investigator, the Research Assistant will perform experiments and related research activities using approved protocols and…	https://www.indeed.com/rc/clk?jk=2626d18ad39f5110&fccid=bb0c672891002d42&vjs=3
55	Senior Research Assistant	Portland, OR 97239 (Homestead area)	Oregon Health & Science University	The incumbent will be heavily involved in assisting with and improving upon established research projects by building applications that help organize research…	https://www.indeed.com/rc/clk?jk=4bdd1571f4b9c003&fccid=85be009ba3b3a5a6&vjs=3
56	Research Assistant I - Radiation Oncology - Research	Houston, TX 77030 (Medical Center Area area)	MD Anderson Cancer Center	Conducts experiments and carries out research projects.	https://www.indeed.com/rc/clk?jk=155654a837457dee&fccid=ab68ed48b7ae3b5f&vjs=3
57	Research Assistant (RA) full-time	New Haven, CT	APT Foundation	The RA coordinates implementation and tracking of research study procedures.	https://www.indeed.com/rc/clk?jk=e3e182500d96fa32&fccid=ee6c2c84bf3ffee3&vjs=3
58	Research Assistant I	East Lansing, MI	Michigan State University	Training and supervising undergraduate research assistants.	https://www.indeed.com/rc/clk?jk=902d5a80aa83f0f5&fccid=f3a7ad4cc82dc87d&vjs=3
59	Research Assistant	Newport, RI 02841	QUICK SERVICES LLC	Familiar with applied research methodologies and academic research techniques.	https://www.indeed.com/rc/clk?jk=93e5a8fc5f646297&fccid=c58d1085daeaa38f&vjs=3
60	Financial Research Assistant	Agoura Hills, CA	Informa	Gather all pertinent information for the research project (i.e. product names, compounding, etc.).	https://www.indeed.com/rc/clk?jk=0135f522d2dadd01&fccid=8bae0fba3b920ea8&vjs=3
61	Research Assistant	umbc campus, MD	University of Maryland Baltimore County	Responsibilities include participant recruitment, conducting clinical interviews and administering standardized assessments, managing databases, reporting to…	https://www.indeed.com/rc/clk?jk=8c1621bf6ff9c396&fccid=b757d8b5d8e08079&vjs=3
62	RESEARCH SCIENTIST/ENGINEER ASSISTANT	Seattle, WA	University of Washington	This position performs research related to data reduction and analysis within the Astronomy and Physics fields.	https://www.indeed.com/rc/clk?jk=d186a8405382afe3&fccid=142783ac2edbe56b&vjs=3
63	Research Assistant - RI Peri Britt	Columbus, OH 43205 (Livingston Park North area)	Nationwide Children's Hospital	10% Miscellaneous paperwork associated with research.	https://www.indeed.com/rc/clk?jk=02fd29e4e8b18e16&fccid=54ea2668f5f1eee5&vjs=3
64	Research Assistant 1	Dayton, OH	Wright State University	Two years of laboratory research experience which can include experience obtained during undergraduate studies.	https://www.indeed.com/rc/clk?jk=f1ea7ead18e9ed28&fccid=5303cb964a3316ba&vjs=3
65	Research Assistant I	Boston, MA	Beth Israel Deaconess Medical Center	Performs literature searches and library investigations as they relate to the research and/or as assigned.	https://www.indeed.com/rc/clk?jk=0958c4f9be694a77&fccid=e22cfd26c0a5b241&vjs=3
66	Research Assistant	Providence, RI 02912 (College Hill area)	Brown University	Coursework in research design and experience with human subjects research is preferred.	https://www.indeed.com/rc/clk?jk=82cbc079d45cfded&fccid=f9fa79636b191cd1&vjs=3
67	Research Assistant	Whiting, IN	Southern Cross University	This position, supporting the research collaboration between NSW DPI and Southern Cross University, is fully funded by the external funding arrangements of a…	https://www.indeed.com/rc/clk?jk=0e54afb01143b8d3&fccid=d6cf73d1f77c57c6&vjs=3
68	Build Engineer / Research Associate	Boston, MA 02210 (South Boston area)	Ginkgo Bioworks	Offer ideas for improvements in efficiency of the process based on research of current molecular biology tools.	https://www.indeed.com/rc/clk?jk=8e97672ac02d30f7&fccid=825850c889c17b10&vjs=3
69	Research Assistant I - Psychiatry and Behavioral Sciences (S...	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=150edf5ff767d229&fccid=2259246cd8a35c6c&vjs=3
70	Assistant Research Technician	New York, NY 10016 (Gramercy area)	NYU Langone Health	Maintains the confidentiality of all research information.	https://www.indeed.com/rc/clk?jk=e39569c6659fa95b&fccid=848e72c84ce4a7a7&vjs=3
71	Research Assistant	Detroit, MI 48201 (Midtown area)	Perinatology Research Branch	Perform molecular biology experiments; ELISA, Flow cytometry, RT-PCR real time, Immunohistochemistry.	https://www.indeed.com/rc/clk?jk=72e443da67a79a63&fccid=cf285b5124501244&vjs=3
72	Research Assistant - Neurology	Memphis, TN 38116 (White Haven-Coro Lake area)	University of Tennessee	Recruits volunteer participants for the research program.	https://www.indeed.com/rc/clk?jk=4de2a229c6b94e4b&fccid=a2b8a561fdc0c8d9&vjs=3
73	Research Associate	Boston, MA	Harvard University	Division of Research and Faculty Development.	https://www.indeed.com/rc/clk?jk=4f482de073e4491d&fccid=5507a64404691526&vjs=3
74	Research Assistant II - School of Public Health	Austin, TX	The University of Texas Health Science Center at H...	Conducts research activities, under general direction, according to research.	https://www.indeed.com/rc/clk?jk=fc22455251ef9fc5&fccid=2259246cd8a35c6c&vjs=3
75	Hourly Research Assistant	Salt Lake City, UT 84112 (East Bench area)	University of Utah	Research assistants on this project are involved with participant recruitment, specimen kit collection, data entry, patient correspondence and maintaining…	https://www.indeed.com/rc/clk?jk=990c9f36a368dc16&fccid=6328b27691d3fdc3&vjs=3
76	PS Hourly Research Assistant	Salt Lake City, UT 84112 (East Bench area)	University of Utah	Employees and/or functions where employees are able to work remotely in order to maintain campus systems, campus operations, clinical operations, and patient…	https://www.indeed.com/rc/clk?jk=e7f02054077e2fc3&fccid=6328b27691d3fdc3&vjs=3
77	Research Assistant	Omaha, NE 68182	University of Nebraska at Omaha	Prior experience conducting ethnographic research, interviewing research subjects, and writing summaries and general analysis of interviews.	https://www.indeed.com/rc/clk?jk=70c89e2c11491094&fccid=23fd47cdc2b93368&vjs=3
78	Research Associate	United States	Split Biosciences	You will design and perform experiments to improve our existing single-cell RNA-sequencing kits as well as demonstrate new applications for our kits.	https://www.indeed.com/rc/clk?jk=df504b4fb47fdb9b&fccid=65713e65c9b36709&vjs=3
79	Clinical Research Assistant	Lafayette, IN 47905	IU Health Arnett	Assists with coordination of administrative and clinical aspects of research projects.	https://www.indeed.com/rc/clk?jk=085912ca7de729d1&fccid=6cdebd3a6977c60b&vjs=3
80	Research Assistant 1	Cleveland, OH 44106 (University District area)	Case Western Reserve University	Working under moderate supervision, the research assistant 1 will perform research work in immunology, cell biology and molecular biology-based projects to…	https://www.indeed.com/rc/clk?jk=8627b2867d49dfa7&fccid=ca618b34d397b8fc&vjs=3
81	Clinical Research Assistant A	Philadelphia, PA	University of Pennsylvania	Works directly with study physicians, research coordinators, project managers, and other research staff.	https://www.indeed.com/rc/clk?jk=fdd3cf552b88e487&fccid=ebd944f3c244d667&vjs=3
82	Research Assistant (Pharmacology)	San Antonio, TX 78229	UT Health Science Center at San Antonio	Responsibilities include assisting or conducting a variety of scientific experiments and research projects of limited complexity, collecting, evaluating and…	https://www.indeed.com/rc/clk?jk=e9606bdc2ce86fa9&fccid=724db2a58e4f828f&vjs=3
83	Research Assistant - Center for Outcomes and Assessment Rese...	East Hanover, NJ	Kessler Foundation	Interview participants according to research protocols.	https://www.indeed.com/rc/clk?jk=31e4fd3e61d5c35f&fccid=cad73781c01a334b&vjs=3
84	Research Associate, Entry Level	Atlanta, GA 30303 (Downtown area)	GBW RESEARCH	Author descriptive documents that profile the emerging technology activities of start-up companies, large corporations, and research laboratories.	https://www.indeed.com/rc/clk?jk=1046e9f801ecdb33&fccid=6f3913a57f79d18b&vjs=3
85	Research Assistant	Washington, DC 20431 (Brentwood area)	International Monetary Fund	Experience working with macroeconomic data and writing macroeconomic research reports.	https://www.indeed.com/rc/clk?jk=40e74b5726512b01&fccid=db55a1d9cc44c9a1&vjs=3
86	Laboratory Assistant	Albuquerque, NM	TriCore Reference Laboratories	Position Type: Regular - Full Time Education Required: See Minimum Qualifications.	https://www.indeed.com/rc/clk?jk=5fefd79e027e566f&fccid=c64ae7052d919731&vjs=3
87	Research Assistant	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	Under general supervision, you will perform administrative work for the Principal Investigator of a research group studying the effects of novel therapeutics on…	https://www.indeed.com/rc/clk?jk=494add4912b17aff&fccid=2a341562d64c7cdb&vjs=3
88	Research Assistant 2	Danbury, CT 06810	Western Connecticut Health Network	Working knowledge of statistics and research methodology.	https://www.indeed.com/rc/clk?jk=fa7953923efcad7f&fccid=0105162e1ce2eaf6&vjs=3
89	Part Time Research Assistant in Anthropology	University Park, PA	Penn State University	The College of Liberal arts at the Pennsylvania State University is seeking applications for a Part Time Research Assistant in Dr. Luke Glowacki's lab in the…	https://www.indeed.com/rc/clk?jk=b8332c9989c064f6&fccid=ee32437d8dec00bd&vjs=3
90	Research Assistant I - Developmental & Regenerative Biology	New York, NY	Mount Sinai	Under direct supervision, provides support services for research projects.	https://www.indeed.com/rc/clk?jk=cbbde09d43694dbd&fccid=c007936ceb766fe5&vjs=3
91	Research Assistant- Kaiser Permanente Bernard J. Tyson Schoo...	Pasadena, CA 91101 (South area)	Kaiser Permanente	Collects and manages research and education data.	https://www.indeed.com/rc/clk?jk=b85d7a5b011613cb&fccid=48ecd526e3aa3225&vjs=3
92	Research Assistant I	San Antonio, TX 78229	The START Center for Cancer Care	Knowledge and training in animal research preferred.	https://www.indeed.com/rc/clk?jk=778281b1d0783794&fccid=27b11ed1b79962bf&vjs=3
93	Research Assistant I - NE	San Diego, CA (Torrey Pines area)	The Scripps Research Institute	The applicant will support the lab research by ordering supplies, making solutions, animal handling, molecular biology, lab organization, general lab…	https://www.indeed.com/rc/clk?jk=e832cf041b52f901&fccid=d4bca27c5f4c9dcb&vjs=3
